date,region,blood_group,demand_units,supply_units,shortage_risk
2024-01-01,North,A+,19,25,Low
2024-01-01,North,A-,38,21,High
2024-01-01,North,B+,10,19,Low
2024-01-01,North,B-,17,43,Low
2024-01-01,North,AB+,40,20,High
2024-01-01,North,AB-,13,43,Low
2024-01-01,North,O+,24,42,Low
2024-01-01,North,O-,39,8,High
2024-01-01,South,A+,37,44,Low
2024-01-01,South,A-,15,40,Low
2024-01-01,South,B+,14,13,Medium
2024-01-01,South,B-,26,39,Low
2024-01-01,South,AB+,7,4,High
2024-01-01,South,AB-,10,5,High
2024-01-01,South,O+,21,44,Low
2024-01-01,South,O-,18,39,Low
2024-01-01,East,A+,31,42,Low
2024-01-01,East,A-,6,34,Low
2024-01-01,East,B+,39,21,High
2024-01-01,East,B-,24,33,Low
2024-01-01,East,AB+,20,28,Low
2024-01-01,East,AB-,24,32,Low
2024-01-01,East,O+,9,6,High
2024-01-01,East,O-,15,31,Low
2024-01-01,West,A+,31,33,Low
2024-01-01,West,A-,34,16,High
2024-01-01,West,B+,26,41,Low
2024-01-01,West,B-,14,23,Low
2024-01-01,West,AB+,25,25,Low
2024-01-01,West,AB-,30,11,High
2024-01-01,West,O+,28,35,Low
2024-01-01,West,O-,40,9,High
2024-01-01,Central,A+,25,18,Medium
2024-01-01,Central,A-,34,10,High
2024-01-01,Central,B+,22,31,Low
2024-01-01,Central,B-,20,12,High
2024-01-01,Central,AB+,11,6,High
2024-01-01,Central,AB-,23,27,Low
2024-01-01,Central,O+,31,18,High
2024-01-01,Central,O-,15,23,Low
2024-01-02,North,A+,25,15,High
2024-01-02,North,A-,15,34,Low
2024-01-02,North,B+,37,32,Medium
2024-01-02,North,B-,36,22,High
2024-01-02,North,AB+,36,4,High
2024-01-02,North,AB-,10,28,Low
2024-01-02,North,O+,37,32,Medium
2024-01-02,North,O-,20,16,Medium
2024-01-02,South,A+,27,6,High
2024-01-02,South,A-,8,21,Low
2024-01-02,South,B+,36,41,Low
2024-01-02,South,B-,35,21,High
2024-01-02,South,AB+,39,3,High
2024-01-02,South,AB-,11,30,Low
2024-01-02,South,O+,13,19,Low
2024-01-02,South,O-,28,28,Low
2024-01-02,East,A+,28,5,High
2024-01-02,East,A-,30,6,High
2024-01-02,East,B+,40,15,High
2024-01-02,East,B-,28,38,Low
2024-01-02,East,AB+,23,7,High
2024-01-02,East,AB-,29,35,Low
2024-01-02,East,O+,33,38,Low
2024-01-02,East,O-,22,42,Low
2024-01-02,West,A+,12,11,Medium
2024-01-02,West,A-,11,28,Low
2024-01-02,West,B+,28,24,Medium
2024-01-02,West,B-,40,26,High
2024-01-02,West,AB+,14,15,Low
2024-01-02,West,AB-,37,28,Medium
2024-01-02,West,O+,37,5,High
2024-01-02,West,O-,7,5,Medium
2024-01-02,Central,A+,13,24,Low
2024-01-02,Central,A-,35,36,Low
2024-01-02,Central,B+,34,12,High
2024-01-02,Central,B-,37,11,High
2024-01-02,Central,AB+,25,42,Low
2024-01-02,Central,AB-,25,13,High
2024-01-02,Central,O+,30,42,Low
2024-01-02,Central,O-,24,40,Low
2024-01-03,North,A+,26,35,Low
2024-01-03,North,A-,37,37,Low
2024-01-03,North,B+,36,39,Low
2024-01-03,North,B-,24,33,Low
2024-01-03,North,AB+,6,26,Low
2024-01-03,North,AB-,26,10,High
2024-01-03,North,O+,31,40,Low
2024-01-03,North,O-,24,43,Low
2024-01-03,South,A+,6,41,Low
2024-01-03,South,A-,35,19,High
2024-01-03,South,B+,19,6,High
2024-01-03,South,B-,35,13,High
2024-01-03,South,AB+,38,43,Low
2024-01-03,South,AB-,29,12,High
2024-01-03,South,O+,20,5,High
2024-01-03,South,O-,12,15,Low
2024-01-03,East,A+,6,31,Low
2024-01-03,East,A-,25,29,Low
2024-01-03,East,B+,14,29,Low
2024-01-03,East,B-,18,29,Low
2024-01-03,East,AB+,37,42,Low
2024-01-03,East,AB-,35,6,High
2024-01-03,East,O+,13,36,Low
2024-01-03,East,O-,18,38,Low
2024-01-03,West,A+,25,45,Low
2024-01-03,West,A-,35,36,Low
2024-01-03,West,B+,29,23,Medium
2024-01-03,West,B-,16,32,Low
2024-01-03,West,AB+,39,24,High
2024-01-03,West,AB-,39,25,High
2024-01-03,West,O+,21,42,Low
2024-01-03,West,O-,35,15,High
2024-01-03,Central,A+,20,20,Low
2024-01-03,Central,A-,40,22,High
2024-01-03,Central,B+,19,22,Low
2024-01-03,Central,B-,23,16,High
2024-01-03,Central,AB+,36,23,High
2024-01-03,Central,AB-,35,25,Medium
2024-01-03,Central,O+,40,20,High
2024-01-03,Central,O-,23,10,High
2024-01-04,North,A+,39,27,High
2024-01-04,North,A-,30,25,Medium
2024-01-04,North,B+,14,21,Low
2024-01-04,North,B-,7,21,Low
2024-01-04,North,AB+,10,25,Low
2024-01-04,North,AB-,33,44,Low
2024-01-04,North,O+,21,33,Low
2024-01-04,North,O-,18,15,Medium
