donor_id,blood_group,distance_km,days_since_last_donation,past_acceptance_rate,urgency_level,time_of_day,accept_probability,accepted
D1,A-,12.97,42,0.77,Low,Afternoon,0.52,1
D2,B-,13.7,74,0.63,Low,Morning,0.53,1
D3,AB+,10.35,43,0.61,High,Night,0.5,1
D4,B+,16.28,33,0.78,Low,Night,0.45,1
D5,AB-,4.7,202,0.19,Medium,Morning,0.61,1
D6,O+,12.27,52,0.76,High,Morning,0.55,0
D7,A-,2.04,180,0.85,High,Evening,0.91,1
D8,O+,1.39,146,0.8,Low,Afternoon,0.9,1
D9,A-,5.92,216,0.25,Medium,Afternoon,0.61,0
D10,AB+,12.38,117,0.58,Low,Afternoon,0.64,1
D11,AB-,19.8,142,0.72,Low,Afternoon,0.59,0
D12,O-,8.32,63,0.29,High,Evening,0.45,1
D13,AB+,8.21,264,0.23,Low,Afternoon,0.57,0
D14,B+,15.07,249,0.91,Medium,Evening,0.74,1
D15,O+,10.44,76,0.78,Low,Afternoon,0.65,1
D16,A+,12.13,227,0.44,Medium,Evening,0.59,0
D17,AB-,13.77,88,0.71,High,Evening,0.6,0
D18,B+,2.68,252,0.24,Low,Evening,0.66,0
D19,B+,10.4,84,0.88,Medium,Afternoon,0.71,1
D20,AB-,11.02,30,0.64,Medium,Morning,0.47,1
D21,O-,17.64,187,0.32,Low,Morning,0.46,1
D22,O+,16.41,94,0.22,Medium,Afternoon,0.38,1
D23,O-,19.31,132,0.74,Medium,Evening,0.61,1
D24,A+,2.86,145,0.16,Low,Afternoon,0.62,1
D25,B-,1.88,60,0.31,Low,Evening,0.55,1
D26,O-,5.93,278,0.29,Low,Night,0.63,1
D27,O+,16.25,127,0.18,High,Night,0.43,1
D28,AB-,9.61,57,0.71,High,Morning,0.58,1
D29,B+,16.11,85,0.32,Low,Night,0.4,1
D30,A-,5.93,157,0.89,Low,Night,0.87,1
D31,O-,1.49,37,0.97,Low,Afternoon,0.76,1
D32,O+,4.67,235,0.91,Low,Night,0.89,1
D33,AB+,5.67,262,0.36,High,Night,0.66,1
D34,A+,4.75,59,0.62,High,Morning,0.62,0
D35,A-,1.48,274,0.55,High,Afternoon,0.8,1
D36,B-,17.1,65,0.64,High,Afternoon,0.46,1
D37,B-,11.79,50,0.66,Medium,Evening,0.51,0
D38,AB+,13.56,190,0.31,Medium,Afternoon,0.52,0
D39,B-,9.42,67,0.11,High,Morning,0.37,1
D40,B+,10.36,97,0.94,Low,Afternoon,0.76,1
D41,AB+,9.04,184,0.65,High,Morning,0.72,1
D42,A-,18.67,83,0.95,Low,Evening,0.61,1
D43,B-,14.98,109,0.35,High,Afternoon,0.49,0
D44,O+,13.91,165,0.55,Medium,Morning,0.61,1
D45,O-,16.67,52,0.1,Low,Evening,0.22,1
D46,B+,11.26,248,0.6,Low,Morning,0.67,0
D47,AB+,11.14,219,0.62,Low,Night,0.68,1
D48,AB-,7.61,50,0.91,Low,Afternoon,0.67,1
D49,B-,15.71,238,0.98,High,Afternoon,0.76,0
D50,AB-,17.36,120,0.89,Low,Afternoon,0.7,0
D51,A-,15.76,240,0.82,High,Afternoon,0.69,1
D52,O-,7.96,49,0.87,Low,Afternoon,0.65,0
D53,AB+,7.32,146,0.3,High,Afternoon,0.61,1
D54,AB-,17.35,172,0.42,High,Night,0.51,0
D55,AB+,18.82,89,0.89,Medium,Afternoon,0.6,1
D56,A-,1.25,252,0.41,Medium,Night,0.75,1
D57,B-,8.01,127,0.33,High,Night,0.61,1
D58,A-,7.6,65,0.95,Medium,Evening,0.73,1
D59,AB+,14.54,183,0.56,High,Night,0.61,1
D60,AB+,11.31,128,0.48,Medium,Afternoon,0.62,1
D61,AB-,8.42,30,0.37,Low,Night,0.4,0
D62,B+,9.57,256,0.71,High,Night,0.74,0
D63,B-,13.35,175,0.56,High,Evening,0.62,1
D64,O-,13.62,145,0.83,Low,Morning,0.73,1
D65,O+,12.42,67,0.51,High,Afternoon,0.49,0
D66,A-,10.14,154,0.23,High,Morning,0.54,0
D67,B-,15.68,142,0.26,High,Night,0.47,1
D68,O-,18.39,92,0.51,Medium,Evening,0.46,0
D69,O-,12.45,288,0.48,High,Night,0.61,0
D70,AB+,9.28,156,0.86,Medium,Night,0.8,1
D71,A-,9.08,176,0.31,Medium,Evening,0.59,0
D72,O+,3.2,148,0.44,Low,Afternoon,0.73,1
D73,A+,6.95,268,0.47,Low,Night,0.68,1
D74,O+,17.21,224,0.53,Medium,Evening,0.55,0
D75,O+,11.0,142,0.54,Medium,Night,0.65,1
D76,A+,7.05,237,0.75,Medium,Afternoon,0.79,0
D77,B+,18.19,43,0.18,Medium,Afternoon,0.21,0
D78,O+,1.48,224,0.39,Medium,Evening,0.73,1
D79,A+,5.93,245,0.33,Low,Night,0.64,1
D80,B-,20.0,209,0.3,Low,Morning,0.42,0
D81,A-,4.39,40,0.66,Low,Afternoon,0.6,1
D82,A-,11.5,141,0.52,Medium,Evening,0.64,1
D83,O+,15.67,113,0.97,Low,Morning,0.74,0
D84,AB+,8.23,131,0.17,High,Afternoon,0.54,1
D85,O+,17.08,91,0.82,High,Morning,0.6,1
D86,O-,13.4,65,0.56,Medium,Morning,0.49,0
D87,AB+,2.56,215,0.67,Medium,Afternoon,0.83,1
D88,B-,12.51,277,0.52,High,Evening,0.62,1
D89,O+,16.7,74,0.35,Medium,Afternoon,0.37,0
D90,AB+,7.06,283,0.87,Low,Night,0.84,1
D91,O+,7.14,171,0.6,High,Afternoon,0.73,1
D92,A+,10.03,153,0.72,High,Night,0.74,1
D93,AB-,2.31,143,0.46,Low,Evening,0.75,1
D94,O-,9.73,206,0.48,High,Evening,0.65,1
D95,B+,5.78,158,0.31,High,Afternoon,0.64,1
D96,B-,4.24,277,0.35,High,Evening,0.68,0
D97,A+,6.28,214,0.26,Low,Afternoon,0.61,1
D98,AB+,11.29,94,0.67,Medium,Morning,0.63,0
D99,O-,9.65,255,0.41,Low,Evening,0.62,0
D100,AB+,2.72,63,0.46,Low,Morning,0.6,1
D101,O+,2.16,157,0.21,Medium,Afternoon,0.65,0
D102,A+,9.29,256,0.37,High,Night,0.61,1
D103,A-,12.39,80,0.95,Low,Afternoon,0.69,1
D104,O-,3.56,118,0.6,Low,Morning,0.78,1
D105,B-,6.18,148,0.36,Medium,Night,0.65,1
D106,AB+,18.52,131,0.48,High,Afternoon,0.51,0
D107,O-,16.62,66,0.15,Medium,Evening,0.28,0
D108,A+,13.93,236,0.95,High,Night,0.77,1
D109,A+,17.84,195,0.64,Low,Morning,0.59,1
D110,O-,19.99,167,0.62,Low,Night,0.55,1
D111,O-,18.36,122,1.0,Medium,Night,0.72,0
D112,O-,7.29,200,0.39,Low,Afternoon,0.65,1
D113,AB-,6.12,235,0.83,High,Morning,0.84,1
D114,O-,5.42,89,0.97,Medium,Morning,0.83,1
D115,A+,8.56,126,0.57,High,Night,0.7,1
D116,B-,4.47,97,0.93,Medium,Night,0.85,1
D117,A-,14.34,189,0.6,High,Night,0.62,1
D118,AB+,9.5,90,0.68,Low,Night,0.65,0
D119,B+,10.42,169,0.47,Medium,Night,0.63,1
D120,O+,7.98,290,0.77,Low,Morning,0.79,1
D121,O-,7.13,289,0.34,Low,Evening,0.63,0
D122,O+,17.37,258,0.58,Medium,Evening,0.57,1
D123,B-,9.38,194,0.88,High,Afternoon,0.81,1
D124,O+,17.19,240,0.14,High,Night,0.4,0
D125,AB-,8.03,107,0.55,Low,Afternoon,0.67,1
