donor_id,total_requests,accepted_requests,completed_donations,no_shows,avg_response_time_minutes,reliability_score
D1,43,7,0,7,90.3,0.1
D2,18,7,2,5,89.7,0.22
D3,46,34,5,29,72.9,0.35
D4,5,0,0,0,30.1,0.15
D5,35,1,0,1,87.3,0.06
D6,47,34,26,8,30.4,0.64
D7,40,17,0,17,92.3,0.17
D8,13,11,6,5,44.1,0.61
D9,12,3,2,1,16.8,0.33
D10,27,3,2,1,102.5,0.1
D11,41,16,1,15,88.9,0.18
D12,37,7,6,1,14.1,0.31
D13,21,20,19,1,106.8,0.76
D14,26,18,6,12,86.0,0.38
D15,5,5,1,4,93.9,0.44
D16,8,3,0,3,48.7,0.23
D17,32,23,5,18,47.6,0.41
D18,16,8,1,7,75.1,0.26
D19,13,8,3,5,23.8,0.46
D20,27,8,8,0,30.3,0.39
D21,23,1,0,1,99.5,0.05
D22,23,12,4,8,12.6,0.42
D23,39,20,6,14,80.4,0.3
D24,28,28,20,8,57.8,0.76
D25,19,4,1,3,90.7,0.14
D26,37,16,13,3,108.2,0.33
D27,28,11,3,8,119.7,0.17
D28,11,8,7,1,15.5,0.71
D29,6,6,0,6,22.6,0.46
D30,13,12,10,2,53.5,0.77
D31,7,6,3,3,73.5,0.55
D32,32,16,0,16,83.2,0.21
D33,10,10,8,2,91.4,0.75
D34,44,21,3,18,38.8,0.31
D35,13,7,0,7,114.7,0.17
D36,49,16,16,0,92.6,0.31
D37,35,6,6,0,76.9,0.21
D38,43,32,12,20,22.6,0.53
D39,13,8,8,0,110.6,0.51
D40,41,20,15,5,7.2,0.52
D41,26,26,25,1,40.4,0.91
D42,6,1,0,1,14.9,0.23
D43,34,4,4,0,93.1,0.14
D44,11,10,7,3,113.9,0.6
D45,13,4,4,0,105.3,0.27
D46,30,30,6,24,111.8,0.41
D47,49,44,12,32,87.0,0.45
D48,28,21,20,1,47.9,0.7
D49,36,28,3,25,33.5,0.42
D50,7,5,0,5,72.7,0.29
D51,17,7,0,7,13.2,0.3
D52,43,3,1,2,12.8,0.21
D53,5,2,0,2,64.1,0.21
D54,20,15,6,9,67.0,0.46
D55,49,36,36,0,59.4,0.69
D56,33,26,6,20,15.8,0.5
D57,45,27,11,16,53.7,0.41
D58,32,3,0,3,12.0,0.21
D59,49,21,3,18,33.6,0.3
D60,15,14,2,12,53.5,0.46
D61,20,14,3,11,105.6,0.31
D62,7,7,1,6,10.8,0.55
D63,37,0,0,0,111.5,0.01
D64,18,5,3,2,60.8,0.27
D65,16,12,0,12,23.9,0.39
D66,3,3,2,1,111.5,0.65
D67,32,18,13,5,85.1,0.43
D68,49,35,31,4,22.8,0.69
D69,21,6,0,6,71.6,0.17
D70,37,3,2,1,11.6,0.23
D71,40,30,16,14,110.7,0.44
D72,36,10,0,10,115.5,0.09
D73,8,2,0,2,73.4,0.15
D74,46,15,12,3,18.8,0.4
D75,39,15,1,14,76.2,0.2
D76,29,21,18,3,70.0,0.61
D77,23,8,3,5,82.0,0.23
D78,23,7,4,3,50.5,0.29
D79,45,41,19,22,57.6,0.59
D80,7,0,0,0,76.4,0.07
D81,39,6,0,6,66.8,0.13
D82,35,16,4,12,112.3,0.21
D83,7,3,2,1,37.8,0.41
D84,31,19,19,0,118.1,0.49
D85,44,33,0,33,81.8,0.29
D86,38,19,3,16,113.0,0.2
D87,11,4,0,4,107.3,0.13
D88,50,35,9,26,36.3,0.44
D89,41,13,11,2,44.4,0.36
D90,46,40,16,24,63.1,0.53
D91,19,1,0,1,77.9,0.09
D92,20,1,0,1,43.4,0.14
D93,11,10,4,6,23.6,0.62
D94,31,27,17,10,6.1,0.73
D95,7,2,2,0,9.1,0.41
D96,26,18,17,1,22.0,0.7
D97,11,0,0,0,46.9,0.12
D98,5,2,0,2,83.4,0.18
D99,45,6,2,4,94.7,0.1
D100,29,19,4,15,111.5,0.28
D101,18,5,1,4,106.4,0.13
D102,4,1,1,0,95.0,0.24
D103,29,25,21,4,104.4,0.65
D104,18,8,2,6,95.5,0.23
D105,9,6,6,0,9.5,0.72
D106,33,14,3,11,98.9,0.21
D107,32,22,9,13,99.4,0.38
D108,17,7,0,7,80.9,0.19
D109,28,10,4,6,104.4,0.2
D110,20,11,10,1,63.6,0.51
D111,46,34,21,13,113.0,0.46
D112,10,4,1,3,71.8,0.25
D113,19,1,0,1,73.6,0.09
D114,25,23,10,13,55.2,0.58
D115,35,7,6,1,108.4,0.17
D116,15,8,0,8,86.5,0.22
D117,3,1,1,0,54.6,0.38
D118,45,21,19,2,41.1,0.48
D119,10,4,4,0,40.6,0.45
D120,29,10,6,4,85.2,0.26
D121,38,8,3,5,53.4,0.21
D122,27,21,5,16,75.8,0.4
D123,22,12,8,4,100.9,0.38
D124,22,9,3,6,54.4,0.3
D125,40,38,20,18,58.5,0.64
D126,31,13,8,5,59.4,0.36
D127,50,10,10,0,14.8,0.34
D128,35,21,2,19,99.1,0.24
D129,18,9,3,6,97.8,0.27
D130,12,0,0,0,33.2,0.14
